xflr5 v6.61											
											
 Calculated polar for: NACA 0008											
											
 1 1 Reynolds number fixed          Mach number fixed         											
											
 xtrf =   1.000 (top)        1.000 (bottom)											
 Mach =   0.050     Re =     0.300 e 6     Ncrit =   9.000											
											
alpha	CL	CD	CDp	Cm	Top Xtr	Bot Xtr	Cpmin	Chinge	XCp		
2.2	0.292	0.00741	0.00218	-0.0077	0.6235	1	-1.0361	0	0	0	0.2743
2.4	0.3112	0.00764	0.00222	-0.0071	0.5738	1	-1.1042	0	0	0	0.2705
2.6	0.3301	0.00793	0.00228	-0.0064	0.5151	1	-1.172	0	0	0	0.2671
2.8	0.3491	0.00823	0.00236	-0.0058	0.4585	1	-1.2507	0	0	0	0.2643
3	0.368	0.00857	0.00249	-0.0053	0.3979	1	-1.3412	0	0	0	0.2618
3.2	0.3867	0.00897	0.00262	-0.0047	0.3314	1	-1.4401	0	0	0	0.2596
3.4	0.4049	0.00948	0.0028	-0.0042	0.2522	1	-1.5522	0	0	0	0.2576
3.6	0.4217	0.01039	0.00312	-0.0036	0.1267	1	-1.6624	0	0	0	0.2557
3.8	0.4396	0.01113	0.00358	-0.0029	0.0782	1	-1.7841	0	0	0	0.2536
4	0.4585	0.01162	0.00409	-0.0022	0.0703	1	-1.9149	0	0	0	0.2517
4.2	0.4781	0.01189	0.00441	-0.0016	0.0677	1	-2.063	0	0	0	0.2502
4.4	0.4975	0.01225	0.00486	-0.001	0.0655	1	-2.2123	0	0	0	0.2487
4.6	0.5168	0.01264	0.0053	-0.0003	0.0636	1	-2.3782	0	0	0	0.2472
4.8	0.5361	0.01306	0.00578	0.0003	0.0617	1	-2.5615	0	0	0	0.2459
5	0.5554	0.01348	0.00623	0.0009	0.0588	1	-2.7534	0	0	0	0.2448
5.2	0.5741	0.01406	0.00681	0.0015	0.0542	1	-2.9433	0	0	0	0.2436
5.4	0.5907	0.01547	0.00833	0.0025	0.0497	1	-3.0852	0	0	0	0.2419
5.6	0.611	0.01577	0.0087	0.003	0.0477	1	-3.2865	0	0	0	0.2411
5.8	0.6308	0.01621	0.00921	0.0035	0.0442	1	-3.4848	0	0	0	0.2403
6	0.6506	0.01655	0.00958	0.0039	0.0398	1	-3.6986	0	0	0	0.2397
6.2	0.6692	0.01735	0.01046	0.0045	0.0359	1	-3.8908	0	0	0	0.2388
6.4	0.6832	0.02069	0.01411	0.0058	0.0318	1	-3.9099	0	0	0	0.237
6.6	0.7036	0.02092	0.01443	0.0063	0.0305	1	-4.1083	0	0	0	0.2364
6.8	0.7228	0.02177	0.01544	0.0069	0.0287	1	-4.2605	0	0	0	0.2356
7	0.7418	0.02251	0.01631	0.0075	0.0262	1	-4.4287	0	0	0	0.2349
7.2	0.7604	0.02324	0.01714	0.008	0.0238	1	-4.636	0	0	0	0.2342
7.4	0.7777	0.02453	0.01861	0.0088	0.0224	1	-4.8249	0	0	0	0.2334
7.6	0.7944	0.02581	0.02004	0.0095	0.0212	1	-5.0203	0	0	0	0.2326
7.8	0.8101	0.02726	0.02165	0.0102	0.0202	1	-5.2079	0	0	0	0.2317
8	0.8231	0.02947	0.02408	0.0111	0.0193	1	-5.3354	0	0	0	0.2307
8.2	0.8317	0.03277	0.02772	0.0123	0.0187	1	-5.3665	0	0	0	0.2293
8.4	0.8377	0.03643	0.03174	0.0135	0.0185	1	-5.3566	0	0	0	0.2278
8.6	0.8425	0.03994	0.0356	0.0146	0.0185	1	-5.346	0	0	0	0.2265
8.8	0.8461	0.04339	0.03936	0.0156	0.0188	1	-5.3253	0	0	0	0.2253
9	0.5268	0.00613	0.00293	0.0504	0.0228	1	-3.8727	0	0	0	0.1509
9.2	0.5067	0.00714	0.00407	0.0521	0.023	1	-3.7975	0	0	0	0.1437
9.4	0.4864	0.00833	0.00538	0.053	0.0232	1	-3.7114	0	0	0	0.1376
9.6	0.4659	0.00973	0.0069	0.0531	0.0235	1	-3.6125	0	0	0	0.1327
9.8	0.4451	0.01141	0.00869	0.0523	0.0239	1	-3.4979	0	0	0	0.1293
10	0.424	0.01343	0.01083	0.0505	0.0244	1	-3.3636	0	0	0	0.1276
10.2	0.4022	0.01595	0.01344	0.0477	0.025	1	-3.2011	0	0	0	0.1283
10.4	0.3783	0.01929	0.01687	0.0436	0.026	1	-2.9819	0	0	0	0.1318
10.6	0.3294	0.02766	0.02527	0.0345	0.0307	1	-2.3816	0	0	0	0.1433
10.8	0.6882	0.11814	0.11525	-0.0191	0.0319	1	-2.5884	0	0	0	0.2709
11	0.6878	0.12239	0.11948	-0.0209	0.0319	1	-2.539	0	0	0	0.2734
11.2	0.688	0.12654	0.12362	-0.0226	0.0318	1	-2.4939	0	0	0	0.2758
11.4	0.6886	0.13061	0.12768	-0.0243	0.0318	1	-2.4525	0	0	0	0.2781
11.6	0.6894	0.13459	0.13165	-0.0259	0.0318	1	-2.4139	0	0	0	0.2802
11.8	0.6906	0.13848	0.13553	-0.0274	0.0318	1	-2.3776	0	0	0	0.2822
12	0.6921	0.14231	0.13935	-0.029	0.0318	1	-2.343	0	0	0	0.2842
12.2	0.6939	0.14606	0.14309	-0.0305	0.0317	1	-2.3096	0	0	0	0.2862
12.4	0.6962	0.1497	0.14673	-0.0321	0.0317	1	-2.2772	0	0	0	0.2882
12.6	0.6988	0.15322	0.15024	-0.0337	0.0315	1	-2.2458	0	0	0	0.2902
12.8	0.702	0.15658	0.1536	-0.0353	0.0314	1	-2.2155	0	0	0	0.2921
13	0.7056	0.15979	0.1568	-0.037	0.0311	1	-2.1856	0	0	0	0.2941
13.2	0.7097	0.16262	0.15962	-0.0391	0.0304	1	-2.1457	0	0	0	0.2966
13.4	0.7118	0.16537	0.16236	-0.0421	0.0284	1	-2.067	0	0	0	0.3005
13.6	0.7149	0.16859	0.16558	-0.0439	0.0265	1	-2.029	0	0	0	0.3026
13.8	0.7184	0.17178	0.16876	-0.0453	0.025	1	-2.0077	0	0	0	0.3041
14	0.7222	0.17488	0.17186	-0.0466	0.0238	1	-1.9955	0	0	0	0.3054
14.2	0.7262	0.17791	0.17488	-0.0479	0.0227	1	-1.9907	0	0	0	0.3066
14.4	0.7306	0.18085	0.17782	-0.049	0.0219	1	-1.9933	0	0	0	0.3076
14.6	0.7352	0.18373	0.1807	-0.0501	0.0211	1	-2.0033	0	0	0	0.3084
14.8	0.7401	0.18654	0.1835	-0.0511	0.0205	1	-2.0218	0	0	0	0.3091
15	0.7453	0.18929	0.18626	-0.052	0.0199	1	-2.0492	0	0	0	0.3096
